epoch,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
18,0.1894922317178161,0.17655202525633354,0.9953703703703703,1.0,0.19452675845887926,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
19,0.2000860748467622,0.1811287138197157,0.9953703703703703,1.0,0.1842612408929401,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
20,0.18660382871274594,0.17258061744548656,1.0,1.0,0.18907079928451115,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
21,0.17893732421927983,0.17063509534906457,1.0,1.0,0.17462229563130272,1.0,1.0,1.0,1.0,1.0,1.0
22,0.1794595398284771,0.17024177809556326,1.0,1.0,0.1803584463066525,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
23,0.17986003668219955,0.1868146100529918,0.9907407407407407,1.0,0.19705029990937975,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
24,0.18136234195144088,0.17062599901799802,1.0,1.0,0.18893671698040432,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
25,0.17827410223307433,0.16992066193509986,1.0,1.0,0.1784260157081816,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
26,0.17687962176623168,0.16978257563379076,1.0,1.0,0.16995186607042947,1.0,1.0,1.0,1.0,1.0,1.0
27,0.17636369389516335,0.1698662053655695,1.0,1.0,0.16993699967861176,1.0,1.0,1.0,1.0,1.0,1.0
28,0.17644915150271523,0.16961187731336663,1.0,1.0,0.16966701878441703,1.0,1.0,1.0,1.0,1.0,1.0
29,0.17565548530331365,0.16961196506464923,1.0,1.0,0.1696251779794693,1.0,1.0,1.0,1.0,1.0,1.0
30,0.17603303768016673,0.16974985599517822,1.0,1.0,0.16980208622084725,1.0,1.0,1.0,1.0,1.0,1.0
31,0.1757623255252838,0.16962036656008828,1.0,1.0,0.16962474087874094,1.0,1.0,1.0,1.0,1.0,1.0
32,0.17601497526522036,0.16975685954093933,1.0,1.0,0.16981005999777052,1.0,1.0,1.0,1.0,1.0,1.0
33,0.1757487130385858,0.169535333359683,1.0,1.0,0.16955955492125618,1.0,1.0,1.0,1.0,1.0,1.0
34,0.17656448869793503,0.16982694025392886,1.0,1.0,0.16982427570554945,1.0,1.0,1.0,1.0,1.0,1.0
35,0.1760342264616931,0.16985733365571057,1.0,1.0,0.16982175575362313,1.0,1.0,1.0,1.0,1.0,1.0
36,0.17572012543678284,0.16960630814234415,1.0,1.0,0.16966316600640616,1.0,1.0,1.0,1.0,1.0,1.0
37,0.17631883091396755,0.17003818021880257,1.0,1.0,0.1700059390730328,1.0,1.0,1.0,1.0,1.0,1.0
38,0.17487471688676764,0.16944477734742341,1.0,1.0,0.16954070826371512,1.0,1.0,1.0,1.0,1.0,1.0
39,0.17583754769078008,0.16949020491706002,1.0,1.0,0.16954421997070312,1.0,1.0,1.0,1.0,1.0,1.0
40,0.17489075936652995,0.16948884780760165,1.0,1.0,0.1695180270406935,1.0,1.0,1.0,1.0,1.0,1.0
41,0.17548575114320825,0.1696699587283311,1.0,1.0,0.16972196764416164,1.0,1.0,1.0,1.0,1.0,1.0
42,0.1752872229726226,0.1696918292178048,1.0,1.0,0.16968103415436214,1.0,1.0,1.0,1.0,1.0,1.0
