epoch,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
19,0.21716361630845954,0.47186412910620373,0.8587962962962963,0.8888888888888888,0.47572683294614154,0.8472222222222222,0.8472222222222222,0.8387540082455337,0.8888888888888888,0.8888888888888888,0.8857142857142857
20,0.388172533777025,0.2182862217779513,0.9814814814814815,1.0,0.19374874896473354,1.0,1.0,1.0,1.0,1.0,1.0
21,0.23112749391131931,0.19747092767998023,0.9884259259259259,1.0,0.18239286541938782,1.0,1.0,1.0,1.0,1.0,1.0
22,0.19974857679119817,0.18213829784481614,0.9953703703703703,1.0,0.17513971692985958,1.0,1.0,1.0,1.0,1.0,1.0
23,0.2041749413366671,0.1748834870479725,1.0,1.0,0.17215397788418663,1.0,1.0,1.0,1.0,1.0,1.0
24,0.19663336210780674,0.182808812017794,0.9930555555555556,1.0,0.17260463370217216,1.0,1.0,1.0,1.0,1.0,1.0
25,0.19485460608093827,0.17710121086350195,1.0,1.0,0.17499281300438774,1.0,1.0,1.0,1.0,1.0,1.0
26,0.19023885329564413,0.17330693039629194,1.0,1.0,0.17101734711064231,1.0,1.0,1.0,1.0,1.0,1.0
27,0.18069317936897278,0.1730121777013496,1.0,1.0,0.17059798704253304,1.0,1.0,1.0,1.0,1.0,1.0
28,0.1749756430034284,0.1723234808003461,1.0,1.0,0.17043535576926339,1.0,1.0,1.0,1.0,1.0,1.0
29,0.17553425773426337,0.17125756541887918,1.0,1.0,0.17085328698158264,1.0,1.0,1.0,1.0,1.0,1.0
30,0.1752804241798542,0.17060256445849384,1.0,1.0,0.17012557056215075,1.0,1.0,1.0,1.0,1.0,1.0
31,0.1770597939138059,0.1707584880016468,1.0,1.0,0.17068661914931404,1.0,1.0,1.0,1.0,1.0,1.0
32,0.17501132907690825,0.17297872956152316,1.0,1.0,0.17180601755777994,1.0,1.0,1.0,1.0,1.0,1.0
33,0.1777943957734991,0.17272778848807016,1.0,1.0,0.17275304595629373,1.0,1.0,1.0,1.0,1.0,1.0
34,0.1783253870628498,0.1966838268218217,0.9884259259259259,1.0,0.2193564706378513,0.9722222222222222,0.9722222222222222,0.9721739130434782,1.0,1.0,1.0
35,0.1941328595081965,0.1746559860529723,1.0,1.0,0.17284777594937217,1.0,1.0,1.0,1.0,1.0,1.0
36,0.17988072942804406,0.17495791172539746,0.9976851851851852,1.0,0.17196526792314318,1.0,1.0,1.0,1.0,1.0,1.0
37,0.18261265478752278,0.17007248600323996,1.0,1.0,0.16981062458621132,1.0,1.0,1.0,1.0,1.0,1.0
38,0.18085195786423153,0.17141703267892203,1.0,1.0,0.1711037125852373,1.0,1.0,1.0,1.0,1.0,1.0
39,0.17364213974387557,0.16988913659696225,1.0,1.0,0.16978789700402153,1.0,1.0,1.0,1.0,1.0,1.0
40,0.17310058518692298,0.16977997841658415,1.0,1.0,0.16969378623697493,1.0,1.0,1.0,1.0,1.0,1.0
41,0.17281608725035633,0.16970242283962392,1.0,1.0,0.16964961422814262,1.0,1.0,1.0,1.0,1.0,1.0
